192.168.237.167-192.168.237.97-53-60686-17,192.168.237.167,60686,192.168.237.97,53,17,,0.0,0,240,64,64,0,0,DNS,0,0,0,2,0,0,0,0,0,120,0,0,0.0,0.0,2024-09-03T12:57:17.855148,2024-09-03T12:57:17.855148,0.0,0.0,0.0,0.0,0.0,False,0,0,False,0,10,13,37,23,2,23,13,
192.168.237.167-192.168.237.97-53-58580-17,192.168.237.167,58580,192.168.237.97,53,17,,0.0,0,261,64,64,0,0,DNS,0,0,0,2,0,0,0,0,0,130,0,0,0.0,0.0,2024-09-03T12:57:17.868010,2024-09-03T12:57:17.868010,0.0,0.0,0.0,0.0,0.0,False,0,0,False,0,13,13,41,26,2,26,13,
192.168.237.167-192.168.237.97-53-52247-17,192.168.237.167,52247,192.168.237.97,53,17,,0.0,0,261,64,64,0,0,DNS,0,0,0,2,0,0,0,0,0,130,0,0,0.0,0.0,2024-09-03T12:57:17.867892,2024-09-03T12:57:17.867892,0.0,0.0,0.0,0.0,0.0,False,0,0,False,0,11,13,39,24,2,24,13,
192.168.237.167-192.168.237.97-53-55040-17,192.168.237.167,55040,192.168.237.97,53,17,,0.0,0,240,64,64,0,0,DNS,0,0,0,2,0,0,0,0,0,120,0,0,0.0,0.0,2024-09-03T12:57:17.867981,2024-09-03T12:57:17.867981,0.0,0.0,0.0,0.0,0.0,False,0,0,False,0,12,13,40,25,2,25,13,
13.33.28.95-192.168.237.167-443-13335-6,192.168.237.167,13335,13.33.28.95,443,6,OTH,0.0,0,16449,128,128,0,0,TCP,0,0,0,36,65792,65792,2869,11616,0,456,0,0,0.0,0.0,2024-09-03T12:57:18.542645,2024-09-03T12:57:18.542645,0.0,0.0,0.070693,4.7e-05,0.0,False,0,0,False,0,11,11,36,112,76,36,11,
192.168.237.167-192.168.237.97-53-55077-17,192.168.237.167,55077,192.168.237.97,53,17,,0.0,0,371,64,64,0,0,DNS,0,0,0,2,0,0,0,0,0,185,0,0,0.0,0.0,2024-09-03T12:57:18.164373,2024-09-03T12:57:18.164373,0.0,0.0,0.0,0.0,0.0,False,0,0,False,0,14,16,72,30,2,30,16,
192.168.237.167-192.168.237.97-53-52389-17,192.168.237.167,52389,192.168.237.97,53,17,,0.0,0,311,64,64,0,0,DNS,0,0,0,2,0,0,0,0,0,155,0,0,0.0,0.0,2024-09-03T12:57:18.165013,2024-09-03T12:57:18.165013,0.0,0.0,0.0,0.0,0.0,False,0,0,False,0,15,16,73,31,2,31,16,
192.168.237.167-192.168.237.97-53-65379-17,192.168.237.167,65379,192.168.237.97,53,17,,0.0,0,371,64,64,0,0,DNS,0,0,0,2,0,0,0,0,0,185,0,0,0.0,0.0,2024-09-03T12:57:18.170900,2024-09-03T12:57:18.170900,0.0,0.0,0.0,0.0,0.0,False,0,0,False,0,16,16,74,32,2,32,16,
192.168.237.167-20.194.184.156-443-13336-6,192.168.237.167,13336,20.194.184.156,443,6,OTH,0.0,0,17881,128,128,0,0,TCP,0,0,0,44,64512,64512,6220,9265,0,406,0,0,0.0,0.0,2024-09-03T12:57:28.636353,2024-09-03T12:57:28.636353,0.0,0.0,0.14488,6.7e-05,0.0,False,0,0,False,0,13,13,44,276,213,44,13,
192.168.237.167-192.168.237.97-53-54689-17,192.168.237.167,54689,192.168.237.97,53,17,,0.0,0,283,64,64,0,0,DNS,0,0,0,2,0,0,0,0,0,141,0,0,0.0,0.0,2024-09-03T12:57:18.689524,2024-09-03T12:57:18.689524,0.0,0.0,0.0,0.0,0.0,False,0,0,False,0,18,19,131,37,2,37,19,
192.168.237.167-192.168.237.97-53-62283-17,192.168.237.167,62283,192.168.237.97,53,17,,0.0,0,259,64,64,0,0,DNS,0,0,0,2,0,0,0,0,0,129,0,0,0.0,0.0,2024-09-03T12:57:18.690234,2024-09-03T12:57:18.690234,0.0,0.0,0.0,0.0,0.0,False,0,0,False,0,19,19,132,38,2,38,19,
192.168.237.167-192.168.237.97-53-58656-17,192.168.237.167,58656,192.168.237.97,53,17,,0.0,0,286,64,64,0,0,DNS,0,0,0,2,0,0,0,0,0,143,0,0,0.0,0.0,2024-09-03T12:57:18.688297,2024-09-03T12:57:18.688297,0.0,0.0,0.0,0.0,0.0,False,0,0,False,0,17,19,130,36,2,36,19,
--443-13337-,,13337,,443,,OTH,0.0,0,17450,0,0,0,0,TCP,0,0,0,37,65536,65536,7511,7179,0,471,0,0,0.0,0.0,2024-09-03T12:57:28.688790,2024-09-03T12:57:28.688790,0.0,0.0,0.0,0.0,0.0,False,0,0,False,0,44,44,266,266,133,37,44,
192.168.237.167-34.227.55.172-443-13338-6,192.168.237.167,13338,34.227.55.172,443,6,OTH,0.0,0,19372,236,236,0,0,TLSv1.2,0,0,0,43,83968,83968,7172,9398,0,450,0,0,0.0,0.0,2024-09-03T12:57:28.721527,2024-09-03T12:57:28.721527,0.0,0.0,0.24299,0.0,0.0,False,0,0,False,0,11,10,277,43,43,214,10,
